Reference,Value,MFP,Qty,DNP,Packed?
C2,1uF,,1,,
C4,0.47uF,,1,,
C8,0.01uF,,1,,
C10,100uF,EEE1AA101WR,1,,
C12,0.1uF,,1,,
C25,1uF,TAJA105K016RNJ,1,,
F1,C1F 2,C1F 2 (CA0612KRX7R7BB104),1,,
F2,MFU0805FF01000P500,MFU0805FF01000P500,1,,
J3,JST_B2B-PH-K-S,S2B-PH-K-SLFSN,1,,
J6,OLED Conn_02x04,Genereic 2x4 2.56 mm,1,,
J7,B4B-XH-A,B4B-XH-A,1,,
J8,Conn_01x02_Pin,,1,,
J9,Conn_02x05_Odd_Even,,1,,
J10,Conn_01x03,Genereic 3 pin 2.56mm,1,,
J11,1051640001,1051640001,1,,
R8,0.01 1%,WSL0805R0100FEA1,1,,
R12,1.1k,,1,,
R13,47k,,1,,
R14,1.5k,,1,,
R23,10k,,1,DNP,
R24,47k,,1,DNP,
RN1,1k,EXB-2HV102JV,1,,
RN2,10k,EXB-2HV103JV,1,,
RN3,680,EXB-38V681JV,1,,
RV1,10k,TRIM_TC33X-2-103E,1,,
SW1,SW_SPST,JST_B2B-PH-K-S,1,,
SW8,SW_Push,TS04-66-65-BK-160-SMT,1,,
SW9,SW_SPDT,PCM12SMTR,1,,
U1,BQ25185DLHR,BQ25185DLHR,1,,
U2,BQ27441-G1,BQ27441-G1,1,,
U5,DRV8834PWP,DRV8834PWP,1,,
U6,MAX7375AXR805,,1,,
U7,STM32F405RGTx,STM32F405RGT6,1,,
U8,ESD9B5.0ST5G,ESD9B5.0ST5G,1,,
"C6,C7",100nF,CA0612KRX7R7BB104,2,,
"C11,C17",10uF,,2,,
"D1,D7",Orange,,2,,
"D9,D10",Blue,,2,,
"J1,J2",B6B-PH-K-S,B6B-PH-K-S,2,,
"J4,J5",Conn_01x05_Pin,Genereic 5 pin 2.56mm,2,,
"R5,R21",1k,,2,,
"R15,R16",51k,,2,,
"R18,R19",0.1,WSTM0805QLR100FNR,2,,
"U3,U4",SMS05T1G,SMS05T1G,2,,
"C1,C3,C5",22uF,,3,,
"C9,C21,C23",2.2uF,,3,,
"D2,D3,D6",Green,,3,,
"D4,D5,D8",Red,,3,,
"R6,R7,R11",5.1k,,3,,
"R1,R2,R3,R4",680,,4,,
"TP3,TP4,TP5,TP6",TestPoint,N/A,4,,
"R9,R10,R17,R20,R22",10k,,5,,
"SW2,SW3,SW4,SW5,SW6,SW7",SW_Push,JST_B2B-PH-K-S,6,,
"C15,C16,C18,C19,C20,C22,C24",100nF,,7,,
"TP1,TP8,TP9,TP10,TP11,TP12,TP13",~,N/A,7,,
